Gender,Sector,Age,Vacc Period,Epi Day,Cohort,N_person,Rate_per_1K
female,General Jewish,60-69,JanB,10/08/2021,2nd,55677,1.131526483
female,General Jewish,60-69,FebA,10/08/2021,2nd,51026,0.744718379
female,General Jewish,60-69,FebB,10/08/2021,2nd,12609,0.951701166
female,General Jewish,70-79,JanB,10/08/2021,2nd,38023,0.736396392
female,General Jewish,70-79,FebA,10/08/2021,2nd,32096,0.841226321
female,General Jewish,70-79,FebB,10/08/2021,2nd,6742,0.444971818
female,General Jewish,80+,JanB,10/08/2021,2nd,23996,0.833472245
female,General Jewish,80+,FebA,10/08/2021,2nd,22461,0.489737768
female,General Jewish,80+,FebB,10/08/2021,2nd,4328,0.462107209
female,Arab,60-69,JanB,10/08/2021,2nd,3984,0.251004016
female,Arab,60-69,FebA,10/08/2021,2nd,8547,0.234000234
female,Arab,60-69,FebB,10/08/2021,2nd,3532,0
female,Arab,70-79,JanB,10/08/2021,2nd,2220,0
female,Arab,70-79,FebA,10/08/2021,2nd,4596,0.652741514
female,Arab,70-79,FebB,10/08/2021,2nd,1747,0.572409845
female,Arab,80+,JanB,10/08/2021,2nd,1158,0
female,Arab,80+,FebA,10/08/2021,2nd,1833,0
female,Arab,80+,FebB,10/08/2021,2nd,664,0
female,ultra-Orthodox Jews,60-69,JanB,10/08/2021,2nd,2335,0.428265525
female,ultra-Orthodox Jews,60-69,FebA,10/08/2021,2nd,2477,0.40371417
female,ultra-Orthodox Jews,60-69,FebB,10/08/2021,2nd,838,0
female,ultra-Orthodox Jews,70-79,JanB,10/08/2021,2nd,1736,0.576036866
female,ultra-Orthodox Jews,70-79,FebA,10/08/2021,2nd,1789,0
female,ultra-Orthodox Jews,70-79,FebB,10/08/2021,2nd,484,0
female,ultra-Orthodox Jews,80+,JanB,10/08/2021,2nd,1162,0.860585198
female,ultra-Orthodox Jews,80+,FebA,10/08/2021,2nd,1164,0
female,ultra-Orthodox Jews,80+,FebB,10/08/2021,2nd,252,0
male,General Jewish,60-69,JanB,10/08/2021,2nd,46571,1.009211741
male,General Jewish,60-69,FebA,10/08/2021,2nd,41143,0.826386019
male,General Jewish,60-69,FebB,10/08/2021,2nd,10037,1.195576367
male,General Jewish,70-79,JanB,10/08/2021,2nd,31116,1.189098856
male,General Jewish,70-79,FebA,10/08/2021,2nd,22416,0.892219843
male,General Jewish,70-79,FebB,10/08/2021,2nd,4382,1.141031492
male,General Jewish,80+,JanB,10/08/2021,2nd,16030,0.810979414
male,General Jewish,80+,FebA,10/08/2021,2nd,13435,0.967621883
male,General Jewish,80+,FebB,10/08/2021,2nd,2416,0.413907285
